"id_pregunta","texto","id_respuesta"
95,"Hola Buenaas, como va?
Estuve haciendo el final de equiapp y en el modelado de datos que hicimos en clase tiene claves cmopuestas.
Mi pregunta seria, cuando deberiamos usar ese tipo de calves sobre PK normales gracias",NULL
303,"Si alguien sabe dónde están 🥲 Genia, gracias",NULL
383,"Disculpen, queria hacer una consulta con respecto al rol de discord. Soy del grupo 25 y solo se me habilitó el chat de voz mientras que mis compañeros tienen ambos desde ya muchas gracias 🙂",NULL
